EN-US,DE,FR
languidly,träge,langoureusement
perches,Sitzstangen,perches
a kyphotic,eine Kyphose,un kyphotique
reluctant,widerwillig,réticent
a crevice,einen Spalt,une crevasse
to ponder,zum Nachdenken,réfléchir
a touch,eine Berührung,une touche
a pink toque,eine rosa Kochmütze,une toque rose
to squirm,sich zu winden,se tortiller
to mingle,sich zu mischen,se mêler
apologetically,apologetisch,en s'excusant
taunts,verhöhnt,railleries
incredulous,ungläubig,incrédule
to lunge,zum Ausfallschritt,de s'élancer
to jumble,durcheinanderwerfen,mélanger
a grouse,ein Moorhuhn,un tétras
ruffled,gekräuselt,à volants
to retch,zu würgen,de vomir
to surge,zum Anstieg,pour bondir
dormant,schlafend,en sommeil
bruising sky,wolkenverhangener Himmel,ciel meurtri
barbed,Widerhaken,barbelé
a pellet gun,ein Luftdruckgewehr,un pistolet à plomb
to hoist,zum Heben,hisser
prawn traps,Krabbenfallen,pièges à crevettes
fierce,heftig,féroce
a windowsill,eine Fensterbank,un rebord de fenêtre
tailgates,Heckklappen,queues de poisson
tremulous,Zitternd,tremblant
and fumbling,und Fummeln,et en tâtonnant
hunching (of the back),Buckeln (des Rückens),la courbure (du dos)
to smudge,zu verschmieren,pour salir
